State,City/Town,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,How often the home health team began their patients care in a timely manner,How often the home health team determined whether patients received a flu shot for the current flu season,How often patients got better at walking or moving around,How often patients got better at getting in and out of bed,How often patients got better at bathing,How often patients breathing improved,How often patients got better at taking their drugs correctly by mouth,How often home health patients had to be admitted to the hospital,How often patients receiving home health care needed urgent unplanned care in the ER without being admitted,Changes in skin integrity post-acute care: pressure ulcer/injury,How often physician-recommended actions to address medication issues were completely timely,Percent of Residents Experiencing One or More Falls with Major Injury,Application of Percent of Long Term Care Hospital Patients with an Admission and Discharge Functional Assessment and a Care Plan that Addresses Function,DTC Numerator,DTC Denominator,DTC Observed Rate,DTC Risk-Standardized Rate,DTC Risk-Standardized Rate (Lower Limit),DTC Risk-Standardized Rate (Upper Limit),PPR Numerator,PPR Denominator,PPR Observed Rate,PPR Risk-Standardized Rate,PPR Risk-Standardized Rate (Lower Limit),PPR Risk-Standardized Rate (Upper Limit),PPH Numerator,PPH Denominator,PPH Observed Rate,PPH Risk-Standardized Rate,PPH Risk-Standardized Rate (Lower Limit),PPH Risk-Standardized Rate (Upper Limit),How much Medicare spends on an episode of care at this agency compared to Medicare spending across all agencies nationally,No. of episodes to calc how much Medicare spends per episode of care at agency compared to spending at all agencies (national),Type of Ownership_GOVERNMENT - COMBINATION GOVT & VOLUNTARY,Type of Ownership_GOVERNMENT - LOCAL,Type of Ownership_GOVERNMENT - STATE/COUNTY,Type of Ownership_PROPRIETARY,Type of Ownership_VOLUNTARY NON PROFIT - RELIGIOUS AFFILIATION,Type of Ownership_VOLUNTARY NON-PROFIT - OTHER,Type of Ownership_VOLUNTARY NON-PROFIT - PRIVATE,PPH Performance Categorization_Better Than National Rate,PPH Performance Categorization_Not Available,PPH Performance Categorization_Same As National Rate,PPH Performance Categorization_Worse Than National Rate,Quality of patient care star rating,Predicted Values
0.7777777777777778,0.8228410008071025,1.0,1.0,1.0,1.0,1.0,1.0,0.9729729729729728,0.845,0.7759999999999999,0.838,0.72,0.564,0.532,0.4354838709677419,0.1965317919075144,0.0,0.855,0.1428571428571428,1.0,0.0018664909969257,0.0019738612913837,0.7612000000000001,0.7702952029520296,0.6862105263157896,0.8028059236165238,0.0013071895424836,0.0013964230087544,0.1159511125039172,0.2159468438538206,0.1433823529411764,0.3691860465116279,0.001360544217687,0.001574493209998,0.1866542230517965,0.2813834329632792,0.174900624645088,0.431219512195122,0.2444444444444444,0.0018592297476759,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0
0.074074074074074,0.1246973365617433,1.0,1.0,1.0,1.0,1.0,1.0,0.9668304668304666,0.997,0.7559999999999999,0.826,0.8109999999999999,0.789,0.728,0.4220430107526881,0.2572254335260115,0.0279720279720279,0.994,0.0129870129870129,1.0,0.0140169814082857,0.0153721924813828,0.7437,0.7826978269782698,0.7706315789473686,0.7709469992205769,0.0130718954248366,0.0153606530962994,0.1090567220307113,0.1943521594684384,0.1433823529411764,0.2848837209302325,0.0197278911564625,0.020796431148724,0.212785814279048,0.2672929120409906,0.2481544576944918,0.2764227642276423,0.2555555555555555,0.0216829651092599,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0
0.8518518518518519,0.0460048426150121,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.649,0.943,0.931,0.962,0.908,0.919,0.4301075268817204,0.4248554913294797,0.0279720279720279,0.972,0.1103896103896103,0.996,0.0093690528473137,0.0108263301133474,0.7051999999999999,0.7547150471504716,0.736,0.7532151208106002,0.0078431372549019,0.0049948976851603,0.1999373237229708,0.2475083056478404,0.1672794117647058,0.3430232558139535,0.0265306122448979,0.0142360427737322,0.41740550629958,0.5324508966695132,0.5565019875070983,0.5213008130081301,0.3055555555555555,0.0390679705420741,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0
0.074074074074074,0.0722356739305891,1.0,1.0,1.0,1.0,1.0,1.0,0.8820638820638821,0.8340000000000001,0.918,1.0,0.942,0.8959999999999999,0.628,0.4731182795698925,0.1994219653179191,0.0,0.2319999999999999,0.0259740259740259,1.0,0.0061484409310496,0.0068786075305798,0.7273000000000001,0.7541000410004101,0.7150526315789475,0.7616913484021824,0.0052287581699346,0.0021483430903915,0.305860231902225,0.2857142857142857,0.1727941176470588,0.4142441860465115,0.0149659863945578,0.0096437709112379,0.3467102193187121,0.4846285226302305,0.4423622941510506,0.5453658536585366,0.3,0.0162501509115054,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0
0.074074074074074,0.0839386602098466,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.528,0.589,0.6459999999999999,0.667,0.645,0.5660000000000001,0.3010752688172042,0.2658959537572254,0.0,0.966,0.0,1.0,0.0062948323817889,0.0063701887131022,0.8037000000000001,0.790590405904059,0.7596842105263159,0.7896531566640685,0.0013071895424836,0.0020409259358719,0.0802256345973049,0.2043189368770763,0.119485294117647,0.3677325581395348,0.0115646258503401,0.0082004854687397,0.3147456836210919,0.5051238257899231,0.4071550255536627,0.5840650406504065,0.3777777777777778,0.0217312567910177,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0
0.8333333333333334,0.0169491525423728,1.0,1.0,1.0,0.0,1.0,1.0,0.9889434889434888,0.73,0.885,0.8740000000000001,0.882,0.898,0.8759999999999999,0.4381720430107527,0.3323699421965317,0.0349650349650349,0.977,0.1233766233766233,0.995,0.0031108183282096,0.0034093967760265,0.7391,0.7695776957769579,0.7163157894736844,0.7982268121590024,0.0,0.00252430313121,0.0,0.1710963455149501,0.1213235294117646,0.2848837209302325,0.0081632653061224,0.0043298563274945,0.4178721418572095,0.4154568744662681,0.3378762067007383,0.4975609756097561,0.261111111111111,0.0044186888808402,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0
0.2777777777777778,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.9398034398034396,0.611,0.7709999999999999,0.8540000000000001,0.78,0.787,0.74,0.379032258064516,0.384393063583815,0.0,0.924,0.0779220779220779,0.998,0.0106499780412823,0.0112450279630349,0.7719,0.8593685936859369,0.8403157894736842,0.8558067030397506,0.0156862745098039,0.0123529727697513,0.1626449388906299,0.2392026578073089,0.1948529411764705,0.3313953488372093,0.0176870748299319,0.0112182641212359,0.3527764815678955,0.3057216054654141,0.306076093128904,0.3147967479674796,0.3277777777777778,0.0142943378003138,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0
0.074074074074074,0.1460855528652138,1.0,1.0,1.0,1.0,1.0,1.0,0.9889434889434888,0.993,0.897,1.0,1.0,1.0,0.951,0.4327956989247312,0.361271676300578,0.0209790209790209,0.997,0.0,1.0,0.0048309178743961,0.0053533510781469,0.7333,0.8194956949569495,0.7729473684210527,0.8443102104442713,0.0039215686274509,0.003276223212847,0.1516765904105296,0.2059800664451827,0.119485294117647,0.3241279069767441,0.0054421768707482,0.0058387456537427,0.2074195053663089,0.2613151152860802,0.2044293015332198,0.3534959349593496,0.3,0.0074852106724616,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,5.0
0.074074074074074,0.1731234866828087,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8340000000000001,0.981,0.82,0.976,1.0,0.93,0.2876344086021505,0.1329479768786127,0.0,0.982,0.0,1.0,0.0068438003220611,0.0058916768848879,0.9444,0.9153341533415336,0.905684210526316,0.8878604832424007,0.0189670287783495,0.0004296686180783,0.1236096052738378,0.2163263677963107,0.1543755044899606,0.30425650205433,0.0006802721088435,0.0091189398412386,0.0165655622958469,0.1118701964133219,0.0494037478705281,0.1964227642276422,0.2777777777777777,0.010020523964747,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,4.0
0.2777777777777778,0.3837772397094431,1.0,1.0,1.0,1.0,1.0,1.0,0.9705159705159704,0.693,0.594,0.755,0.8340000000000001,0.6609999999999999,0.7170000000000001,0.4543010752688171,0.1936416184971098,0.0,0.774,0.0649350649350649,1.0,0.0070999853608549,0.0085533989293297,0.6759999999999999,0.7025420254202542,0.6643157894736841,0.7135619641465316,0.0039215686274509,0.00252430313121,0.1958633657160764,0.2342192691029899,0.1378676470588235,0.3488372093023256,0.0142857142857142,0.0109558485862363,0.2916472235184321,0.3911187019641332,0.346961953435548,0.4299186991869919,0.3222222222222222,0.0124592538935168,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0
