How often patients got better at walking or moving around,How often patients got better at taking their drugs correctly by mouth,How often patients got better at bathing,How often the home health team began their patients care in a timely manner,How often patients breathing improved,How often home health patients had to be admitted to the hospital,How often patients got better at getting in and out of bed,Quality of patient care star rating,Predicted Values
0.779,0.7879999999999999,0.794,0.9410319410319408,0.779,0.1801075268817204,0.8009999999999999,3.0,2.0
0.742,0.7440000000000001,0.8240000000000001,0.8157248157248157,0.777,0.1774193548387096,0.799,3.0,2.0
0.873,0.86,0.91,0.985257985257985,0.903,0.4865591397849462,0.877,4.0,3.0
0.7879999999999999,0.721,0.7959999999999999,0.7076167076167076,0.855,0.3735840377206601,0.889,3.0,2.0
0.795,0.6629999999999999,0.782,1.0,0.7964877532106448,0.3735840377206601,0.72,3.0,2.0
0.746,0.757,0.831,0.9815724815724816,0.785,0.2956989247311827,0.7559999999999999,3.0,2.0
1.0,1.0,0.95,0.9754299754299754,0.968,0.4301075268817204,0.969,4.0,5.0
0.7709999999999999,0.695,0.6809999999999999,0.8660933660933661,0.753,0.2849462365591397,0.643,2.0,1.0
0.7929999999999999,0.524,0.812,1.0,0.764,0.336021505376344,0.675,3.0,2.0
0.8490000000000001,0.526,1.0,1.0,0.706,0.2392473118279569,1.0,4.0,3.0
0.8270000000000001,0.7829999999999999,0.838,0.9606879606879604,0.71,0.3817204301075268,0.7909999999999999,3.0,2.0
0.764,0.757,0.8170000000000001,0.9373464373464374,0.804,0.3306451612903225,0.878,3.0,2.0
0.87,0.87,0.732,0.9348894348894348,0.6940000000000001,0.3735840377206601,0.861,3.0,2.0
0.799,0.6609999999999999,0.871,1.0,0.856,0.1048387096774193,0.912,4.0,3.0
0.853,0.821,0.8959999999999999,0.9656019656019654,0.929,0.2795698924731182,0.8440000000000001,4.0,3.0
0.856,0.8240000000000001,0.8959999999999999,0.9877149877149876,0.868,0.2741935483870967,0.8590000000000001,4.0,3.0
0.748,0.7120000000000001,0.723,1.0,0.7290000000000001,0.4301075268817204,0.851,3.0,2.0
